"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested",Operations
2642489,"July 4, 2023",Michigan,Lansing,"6520 Mercantile Way",0,5,0,0,0,N/A
2642527,"July 4, 2023",Ohio,Akron,"E Exchange St",0,4,0,0,0,N/A
2642484,"July 4, 2023","North Carolina",Charlotte,"5300 block of Park Brook Dr",0,4,0,0,0,N/A
2642495,"July 3, 2023",Indiana,Indianapolis,"3200 block of Forest Manor Ave",1,3,0,0,0,N/A
2642785,"July 3, 2023",Missouri,"Saint Ann","4100 block of Jane Ave",3,1,1,0,0,N/A
2642472,"July 3, 2023",Texas,"Fort Worth","Diaz Ave and Horne St",3,8,0,0,0,N/A
2642071,"July 3, 2023",Pennsylvania,Philadelphia,"5700 block of Warrington Ave",5,2,0,0,1,N/A
2642262,"July 3, 2023",Texas,"Fort Worth","2100 block of Christine Ave",0,4,0,0,0,N/A
2640219,"July 2, 2023",Maryland,Baltimore,"800 block of Gretna Court",2,28,0,0,0,N/A
2640311,"July 2, 2023",Kansas,Wichita,"222 North Washington St",0,9,0,0,1,N/A
2641112,"July 2, 2023","New York",Bronx,"1780 Eastburn Ave",0,4,0,0,0,N/A
2639780,"July 1, 2023",Oklahoma,Tulsa,"1150 S Sheridan Rd",0,4,0,0,0,N/A
2639130,"June 30, 2023",California,Florin,"7870 Florin Rd",0,4,0,0,0,N/A
2639623,"June 30, 2023",Illinois,Chicago,"6300 block of S Artesian Ave",1,3,0,0,0,N/A
2638784,"June 29, 2023",Texas,Odessa,"4310 N Dixie Blvd",1,4,0,0,0,N/A
2638465,"June 28, 2023","North Carolina",Greensboro,"5100 Bayberry St",3,2,0,0,1,N/A
2636671,"June 26, 2023",Michigan,Ypsilanti,"800 block of George Pl",2,2,0,0,1,N/A
2634835,"June 25, 2023",Missouri,"Kansas City","5646 Prospect Ave",3,6,0,0,1,N/A
2635065,"June 25, 2023",Texas,"Missouri City","7242 W Fuqua St",1,3,0,0,0,N/A
2635437,"June 25, 2023",Ohio,Cincinnati,"1233 Clay St",0,4,0,0,0,N/A
2634933,"June 25, 2023",Maryland,"Temple Hills (Marlow Heights)","4400 block of Stamp Rd",0,4,0,0,0,N/A
2634840,"June 25, 2023",Indiana,Indianapolis,"800 block of Broad Ripple Ave",3,1,0,0,0,N/A
2635243,"June 24, 2023","North Carolina",Asheboro,"800 block of Salem Ct",0,4,0,0,2,N/A
2634357,"June 24, 2023",Texas,Beaumont,"1600 block of Glasshouse St",0,5,0,0,0,N/A
2634147,"June 24, 2023",Michigan,Saginaw,"Fourth St and Johnson St",2,11,0,0,0,N/A
2634135,"June 24, 2023",Florida,Orlando,"2620 N Hiawassee Rd",2,2,0,0,0,N/A
2632283,"June 21, 2023",Texas,"Fort Worth","2120 Handley Dr",1,3,0,0,0,N/A
2630581,"June 20, 2023",Michigan,Pontiac,"28 Cherry Hill Dr",1,3,0,0,0,N/A
2629821,"June 19, 2023",Illinois,Chicago,"3200 block of W 79th St",1,3,0,0,0,N/A
2629745,"June 19, 2023",Wisconsin,Milwaukee,"2947 N Doctor MLK Jr Dr",0,6,0,0,1,N/A
2628072,"June 18, 2023",Illinois,Willowbrook,"10S622 Kingery Hwy",1,22,0,0,0,N/A
2628083,"June 18, 2023",Missouri,"Saint Louis","1409 Washington Ave",1,9,0,0,0,N/A
2629211,"June 18, 2023",Idaho,Kellogg,"525 W Cameron Ave",4,0,0,0,1,N/A
2629196,"June 18, 2023","North Carolina",Greenville,"1100 block of W Sixth St",1,5,0,0,0,N/A
2628950,"June 18, 2023",Illinois,Chicago,"9900 block of S Princeton Ave",2,3,0,0,0,N/A
2628104,"June 18, 2023",Illinois,Chicago,"5400 block of W Crystal St",1,3,0,0,0,N/A
2628094,"June 18, 2023",Georgia,Decatur,"4525 Glenwood Rd",0,5,0,0,0,N/A
2629262,"June 18, 2023",Michigan,Detroit,"12000 block of Roselawn St",0,4,0,0,0,N/A
2627254,"June 17, 2023",Illinois,Chicago,"1900 block of N Stockton Dr",0,5,0,0,0,N/A
2627729,"June 17, 2023",Pennsylvania,Philadelphia,"1700 block of Ringgold St",0,5,0,0,0,N/A
2627193,"June 17, 2023",Wisconsin,"La Crosse","116 3rd St S",0,7,0,0,1,N/A
2627442,"June 17, 2023","North Carolina","Winston Salem (Winston-salem)","800 block of Utah Dr",0,4,0,0,0,N/A
